Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,24.77,24.77,24.77,24.77,0,24.77
2016-01-05,24.77,24.77,24.77,24.77,0,24.77
2016-01-06,24.77,24.77,24.77,24.77,0,24.77
2016-01-07,24.77,24.77,24.77,24.77,0,24.77
2016-01-08,24.77,24.77,24.77,24.77,0,24.77
2016-01-11,24.77,24.77,24.77,24.77,0,24.77
2016-01-12,24.77,24.77,24.77,24.77,0,24.77
2016-01-13,24.77,24.77,24.77,24.77,0,24.77
2016-01-14,24.77,24.77,24.77,24.77,0,24.77
2016-01-15,24.77,24.77,24.77,24.77,0,24.77
2016-01-19,24.77,24.77,24.77,24.77,0,24.77
2016-01-20,24.77,24.77,24.77,24.77,0,24.77
2016-01-21,24.77,24.77,24.77,24.77,0,24.77
2016-01-22,24.77,24.77,24.77,24.77,0,24.77
2016-01-25,24.77,24.77,24.77,24.77,0,24.77
2016-01-26,24.77,24.77,24.77,24.77,0,24.77
2016-01-27,24.77,24.77,24.77,24.77,0,24.77
2016-01-28,24.77,24.77,24.77,24.77,0,24.77
2016-01-29,24.77,24.77,24.77,24.77,0,24.77
2016-02-01,24.77,24.77,24.77,24.77,0,24.77
2016-02-02,24.77,24.77,24.77,24.77,0,24.77
2016-02-03,24.77,24.77,24.77,24.77,0,24.77
2016-02-04,24.77,24.77,24.77,24.77,0,24.77
2016-02-05,24.77,24.77,24.77,24.77,0,24.77
2016-02-08,24.77,24.77,24.77,24.77,0,24.77
2016-02-09,24.77,24.77,24.77,24.77,0,24.77
2016-02-10,24.77,24.77,24.77,24.77,0,24.77
2016-02-11,24.77,24.77,24.77,24.77,0,24.77
2016-02-12,24.77,24.77,24.77,24.77,0,24.77
2016-02-16,24.77,24.77,24.77,24.77,0,24.77
2016-02-17,24.77,24.77,24.77,24.77,0,24.77
2016-02-18,24.77,24.77,24.77,24.77,0,24.77
2016-02-19,24.77,24.77,24.77,24.77,0,24.77
2016-02-22,24.77,24.77,24.77,24.77,0,24.77
2016-02-23,24.77,24.77,24.77,24.77,0,24.77
2016-02-24,24.77,24.77,24.77,24.77,0,24.77
2016-02-25,24.77,24.77,24.77,24.77,0,24.77
2016-02-26,24.77,24.77,24.77,24.77,0,24.77
2016-02-29,24.77,24.77,24.77,24.77,0,24.77
2016-03-01,24.77,24.77,24.77,24.77,0,24.77
2016-03-02,24.77,24.77,24.77,24.77,0,24.77
2016-03-03,24.77,24.77,24.77,24.77,0,24.77
2016-03-04,24.77,24.77,24.77,24.77,0,24.77
2016-03-07,24.77,24.77,24.77,24.77,0,24.77
2016-03-08,24.77,24.77,24.77,24.77,0,24.77
2016-03-09,24.77,24.77,24.77,24.77,0,24.77
2016-03-10,24.77,24.77,24.77,24.77,0,24.77
2016-03-11,24.77,24.77,24.77,24.77,0,24.77
2016-03-14,24.77,24.77,24.77,24.77,0,24.77
2016-03-15,24.77,24.77,24.77,24.77,0,24.77
2016-03-16,24.77,24.77,24.77,24.77,0,24.77
2016-03-17,24.77,24.77,24.77,24.77,0,24.77
2016-03-18,24.77,24.77,24.77,24.77,0,24.77
2016-03-21,24.77,24.77,24.77,24.77,0,24.77
2016-03-22,24.77,24.77,24.77,24.77,0,24.77
2016-03-23,24.77,24.77,24.77,24.77,0,24.77
2016-03-24,24.77,24.77,24.77,24.77,0,24.77
2016-03-28,24.77,24.77,24.77,24.77,0,24.77
2016-03-29,24.77,24.77,24.77,24.77,0,24.77
2016-03-30,24.77,24.77,24.77,24.77,0,24.77
2016-03-31,24.77,24.77,24.77,24.77,0,24.77
2016-04-01,24.77,24.77,24.77,24.77,0,24.77
2016-04-04,24.77,24.77,24.77,24.77,0,24.77
2016-04-05,24.77,24.77,24.77,24.77,0,24.77
2016-04-06,24.77,24.77,24.77,24.77,0,24.77
2016-04-07,24.77,24.77,24.77,24.77,0,24.77
2016-04-08,24.77,24.77,24.77,24.77,0,24.77
2016-04-11,24.77,24.77,24.77,24.77,0,24.77
2016-04-12,24.77,24.77,24.77,24.77,0,24.77
2016-04-13,24.77,24.77,24.77,24.77,0,24.77
2016-04-14,24.77,24.77,24.77,24.77,0,24.77
2016-04-15,24.77,24.77,24.77,24.77,0,24.77
2016-04-18,24.77,24.77,24.77,24.77,0,24.77
2016-04-19,24.77,24.77,24.77,24.77,0,24.77
2016-04-20,24.77,24.77,24.77,24.77,0,24.77
2016-04-21,24.77,24.77,24.77,24.77,0,24.77
2016-04-22,24.77,24.77,24.77,24.77,0,24.77
2016-04-25,24.77,24.77,24.77,24.77,0,24.77
2016-04-26,24.77,24.77,24.77,24.77,0,24.77
2016-04-27,24.77,24.77,24.77,24.77,0,24.77
2016-04-28,24.77,24.77,24.77,24.77,0,24.77
2016-04-29,24.77,24.77,24.77,24.77,0,24.77
2016-05-02,24.77,24.77,24.77,24.77,0,24.77
2016-05-03,24.77,24.77,24.77,24.77,0,24.77
2016-05-04,24.77,24.77,24.77,24.77,0,24.77
2016-05-05,24.77,24.77,24.77,24.77,0,24.77
2016-05-06,24.77,24.77,24.77,24.77,0,24.77
2016-05-09,24.77,24.77,24.77,24.77,0,24.77
2016-05-10,24.77,24.77,24.77,24.77,0,24.77
2016-05-11,24.77,24.77,24.77,24.77,0,24.77
2016-05-12,24.77,24.77,24.77,24.77,0,24.77
2016-05-13,24.77,24.77,24.77,24.77,0,24.77
2016-05-16,24.77,24.77,24.77,24.77,0,24.77
2016-05-17,24.77,24.77,24.77,24.77,0,24.77
2016-05-18,24.77,24.77,24.77,24.77,0,24.77
2016-05-19,24.77,24.77,24.77,24.77,0,24.77
2016-05-20,24.77,24.77,24.77,24.77,0,24.77
2016-05-23,24.77,24.77,24.77,24.77,0,24.77
2016-05-24,24.77,24.77,24.77,24.77,0,24.77
2016-05-25,24.77,24.77,24.77,24.77,0,24.77
2016-05-26,24.77,24.77,24.77,24.77,0,24.77
2016-05-27,24.77,24.77,24.77,24.77,0,24.77
2016-05-31,24.77,24.77,24.77,24.77,0,24.77
2016-06-01,24.77,24.77,24.77,24.77,0,24.77
2016-06-02,24.77,24.77,24.77,24.77,0,24.77
2016-06-03,24.77,24.77,24.77,24.77,0,24.77
2016-06-06,24.77,24.77,24.77,24.77,0,24.77
2016-06-07,24.77,24.77,24.77,24.77,0,24.77
2016-06-08,24.77,24.77,24.77,24.77,0,24.77
2016-06-09,24.77,24.77,24.77,24.77,0,24.77
2016-06-10,24.77,24.77,24.77,24.77,0,24.77
2016-06-13,24.77,24.77,24.77,24.77,0,24.77
2016-06-14,24.77,24.77,24.77,24.77,0,24.77
2016-06-15,24.77,24.77,24.77,24.77,0,24.77
2016-06-16,24.77,24.77,24.77,24.77,0,24.77
2016-06-17,24.77,24.77,24.77,24.77,0,24.77
2016-06-20,24.77,24.77,24.77,24.77,0,24.77
2016-06-21,24.77,24.77,24.77,24.77,0,24.77
2016-06-22,24.77,24.77,24.77,24.77,0,24.77
2016-06-23,24.77,24.77,24.77,24.77,0,24.77
2016-06-24,24.77,24.77,24.77,24.77,0,24.77
2016-06-27,24.77,24.77,24.77,24.77,0,24.77
2016-06-28,24.77,24.77,24.77,24.77,0,24.77
2016-06-29,24.77,24.77,24.77,24.77,0,24.77
2016-06-30,24.77,24.77,24.77,24.77,0,24.77
2016-07-01,24.77,24.77,24.77,24.77,0,24.77
2016-07-05,24.77,24.77,24.77,24.77,0,24.77
2016-07-06,24.77,24.77,24.77,24.77,0,24.77
2016-07-07,24.77,24.77,24.77,24.77,0,24.77
2016-07-08,24.77,24.77,24.77,24.77,0,24.77
2016-07-11,24.77,24.77,24.77,24.77,0,24.77
2016-07-12,24.77,24.77,24.77,24.77,0,24.77
2016-07-13,24.77,24.77,24.77,24.77,0,24.77
2016-07-14,24.77,24.77,24.77,24.77,0,24.77
2016-07-15,24.77,24.77,24.77,24.77,0,24.77
2016-07-18,24.77,24.77,24.77,24.77,0,24.77
2016-07-19,24.77,24.77,24.77,24.77,0,24.77
2016-07-20,24.77,24.77,24.77,24.77,0,24.77
2016-07-21,24.77,24.77,24.77,24.77,0,24.77
2016-07-22,24.77,24.77,24.77,24.77,0,24.77
2016-07-25,24.77,24.77,24.77,24.77,0,24.77
2016-07-26,24.77,24.77,24.77,24.77,0,24.77
2016-07-27,24.77,24.77,24.77,24.77,0,24.77
2016-07-28,24.77,24.77,24.77,24.77,0,24.77
2016-07-29,24.77,24.77,24.77,24.77,0,24.77
2016-08-01,24.77,24.77,24.77,24.77,0,24.77
2016-08-02,24.77,24.77,24.77,24.77,0,24.77
2016-08-03,24.77,24.77,24.77,24.77,0,24.77
2016-08-04,24.77,24.77,24.77,24.77,0,24.77
2016-08-05,24.77,24.77,24.77,24.77,0,24.77
2016-08-08,24.77,24.77,24.77,24.77,0,24.77
2016-08-09,24.77,24.77,24.77,24.77,0,24.77
2016-08-10,24.77,24.77,24.77,24.77,0,24.77
2016-08-11,24.77,24.77,24.77,24.77,0,24.77
2016-08-12,24.77,24.77,24.77,24.77,0,24.77
2016-08-15,24.77,24.77,24.77,24.77,0,24.77
2016-08-16,24.77,24.77,24.77,24.77,0,24.77
2016-08-17,24.77,24.77,24.77,24.77,0,24.77
2016-08-18,24.77,24.77,24.77,24.77,0,24.77
2016-08-19,24.77,24.77,24.77,24.77,0,24.77
2016-08-22,24.77,24.77,24.77,24.77,0,24.77
2016-08-23,24.77,24.77,24.77,24.77,0,24.77
2016-08-24,24.77,24.77,24.77,24.77,0,24.77
2016-08-25,24.77,24.77,24.77,24.77,0,24.77
2016-08-26,24.77,24.77,24.77,24.77,0,24.77
2016-08-29,24.77,24.77,24.77,24.77,0,24.77
2016-08-30,24.77,24.77,24.77,24.77,0,24.77
2016-08-31,24.77,24.77,24.77,24.77,0,24.77
2016-09-01,24.77,24.77,24.77,24.77,0,24.77
2016-09-02,24.77,24.77,24.77,24.77,0,24.77
2016-09-06,24.77,24.77,24.77,24.77,0,24.77
2016-09-07,24.77,24.77,24.77,24.77,0,24.77
2016-09-08,24.77,24.77,24.77,24.77,0,24.77
2016-09-09,24.77,24.77,24.77,24.77,0,24.77
2016-09-12,24.77,24.77,24.77,24.77,0,24.77
2016-09-13,24.77,24.77,24.77,24.77,0,24.77
2016-09-14,24.77,24.77,24.77,24.77,0,24.77
2016-09-15,24.77,24.77,24.77,24.77,0,24.77
2016-09-16,24.77,24.77,24.77,24.77,0,24.77
2016-09-19,24.77,24.77,24.77,24.77,0,24.77
2016-09-20,24.77,24.77,24.77,24.77,0,24.77
2016-09-21,24.77,24.77,24.77,24.77,0,24.77
2016-09-22,24.77,24.77,24.77,24.77,0,24.77
2016-09-23,24.77,24.77,24.77,24.77,0,24.77
2016-09-26,24.77,24.77,24.77,24.77,0,24.77
2016-09-27,24.77,24.77,24.77,24.77,0,24.77
2016-09-28,24.77,24.77,24.77,24.77,0,24.77
2016-09-29,24.77,24.77,24.77,24.77,0,24.77
2016-09-30,24.77,24.77,24.77,24.77,0,24.77
2016-10-03,24.77,24.77,24.77,24.77,0,24.77
